image,model,avg_dist,cosine_sim,accuracy,correct,total,time,dataset
R_GImag0008.bmp,ST-Continuous,0.4703328609466553,0.9999966621398926,0.5716353111432706,790,1382,9.593180656433105,web_dataset
R_GImag0008.bmp,ST-Bucketed,140.31982421875,0.9685326814651489,0.0,0,1382,11.231778144836426,web_dataset
R_GImag0009.bmp,Original,1.075976848602295,0.999975323677063,0.2698986975397974,373,1382,4.354459285736084,web_dataset
R_GImag0009.bmp,ST-Continuous,1.1931982040405273,0.9999757409095764,0.2011577424023155,278,1382,9.984099626541138,web_dataset
R_GImag0009.bmp,ST-Bucketed,1.942112922668457,0.9999735355377197,0.057163531114327065,79,1382,10.754077196121216,web_dataset
R_GImag0010.bmp,Original,0.422575980424881,0.9999806880950928,0.58972503617945,815,1382,4.483746290206909,web_dataset
R_GImag0010.bmp,ST-Continuous,0.4659913182258606,0.9999812841415405,0.5513748191027497,762,1382,29.932416677474976,web_dataset
R_GImag0010.bmp,ST-Bucketed,0.9088277816772461,0.9999509453773499,0.32778581765557163,453,1382,8.177087783813477,web_dataset
R_GImag0011.bmp,Original,0.7626628279685974,0.9999644160270691,0.40665701881331406,562,1382,3.3391971588134766,web_dataset
R_GImag0011.bmp,ST-Continuous,0.6309695839881897,0.9999709129333496,0.48118668596237335,665,1382,8.517453670501709,web_dataset
R_GImag0011.bmp,ST-Bucketed,0.6960926055908203,0.9999657273292542,0.44934876989869754,621,1382,8.861153602600098,web_dataset
R_GImag0012.bmp,Original,0.4594790041446686,0.9999867677688599,0.5962373371924746,824,1382,3.6421632766723633,web_dataset
R_GImag0012.bmp,ST-Continuous,0.4370477497577667,0.9999874234199524,0.6049204052098408,836,1382,8.466372728347778,web_dataset
R_GImag0012.bmp,ST-Bucketed,0.9211288094520569,0.9999678730964661,0.24819102749638206,343,1382,9.927470922470093,web_dataset
R_GImag0013.bmp,Original,0.7547033429145813,0.9999563694000244,0.38929088277858176,538,1382,3.3819472789764404,web_dataset
R_GImag0013.bmp,ST-Continuous,128.81837463378906,0.977267861366272,0.0,0,1382,7.77667498588562,web_dataset
R_GImag0013.bmp,ST-Bucketed,0.8111432790756226,0.9999555349349976,0.3386396526772793,468,1382,11.40787124633789,web_dataset
R_GImag0014.bmp,Original,0.586107075214386,0.9999770522117615,0.5137481910274964,710,1382,13.353527784347534,web_dataset
R_GImag0014.bmp,ST-Continuous,0.8690304160118103,0.9999756217002869,0.34081041968162085,471,1382,32.36325931549072,web_dataset
